"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"65973",3495.67244490646,-3.24024466171427,0.163538290497631,-19.8133700178381,2.28281138227156e-87,6.00477228310947e-85
"68861",1092.97767719389,-3.24126062566068,0.163867635109578,-19.7797485970506,4.44902951040197e-87,1.1538025404934e-84
"20541",348.568827574507,-6.96769876472613,0.352534618435333,-19.7645802720059,6.00961016444832e-87,1.53687433274982e-84
"99929",5331.35346288066,-2.28693937729707,0.11604132653249,-19.7079734059809,1.84197283834617e-86,4.64606107842029e-84
"214804",712.337055243113,-2.61226748863374,0.132578008228781,-19.70362598996,2.00717045300798e-86,4.99432831773458e-84
"98932",20271.8503028669,-8.59288944479299,0.437143026679389,-19.6569290148948,5.04347892760394e-86,1.23820769991962e-83
"20583",883.324896762357,-7.71275213455505,0.39283731810257,-19.6334507419207,8.00863423515464e-86,1.94030239699871e-83
"15234",476.779069458217,-7.44519626697088,0.379388345761972,-19.6242092044703,9.60601253394549e-86,2.29708452970829e-83
"20358",562.956698342869,-3.74155725195197,0.192684846612221,-19.418015052745,5.43503616172355e-84,1.28301693392071e-81
"77590",859.720234742915,-7.08602701647736,0.365484670300246,-19.3880279866627,9.74002070970573e-84,2.27016457376977e-81
"11475",140621.087318753,-8.98168557835277,0.464229932758637,-19.3474934392534,2.13999489011223e-83,4.92546573895455e-81
"546546",3080.78801721696,-5.8464653063255,0.302885502096923,-19.3025591051719,5.11140096918779e-83,1.16192871661302e-80
"14451",5059.00831830429,-7.05110659669288,0.365411113255962,-19.2963660406074,5.76217806443025e-83,1.29389005732139e-80
"228911",2295.86548044093,-6.72120684297409,0.349121938763798,-19.2517458707211,1.36485041615442e-82,3.02783020634353e-80
"93761",166.438654814866,-6.12550251917673,0.31890073633577,-19.2081792897687,3.16161200699142e-82,6.93032879580155e-80
"22409",633.256123045173,-7.84681516193661,0.409269947690427,-19.1727127931513,6.25598212697459e-82,1.35519292828215e-79
"56191",425.714981697006,-8.26001814797925,0.431613022451792,-19.1375554450557,1.22902638851383e-81,2.63140266182619e-79
"29877",568.533258919888,-6.53764051047577,0.342412715982748,-19.092867190146,2.89438586355064e-81,6.12578470178827e-79
"12162",830.962582157851,-5.63896301605896,0.296722687015245,-19.0041518994779,1.57572256480259e-80,3.29702040746706e-78
"72097",450.829881094713,5.39488733552689,0.283985681142895,18.9970399698156,1.80438009504044e-80,3.7330394033685e-78
"109205",727.117165840923,-8.90988192643867,0.472481981478381,-18.8576120904334,2.54455272467749e-79,5.20587214660963e-77
"30785",547.815666477024,-6.98589589198305,0.371511317860937,-18.8039921157879,7.0040856546451e-79,1.41721130943934e-76
"12821",11448.9956726986,-7.56229845931141,0.402547116918602,-18.7861200378205,9.80944733363408e-79,1.96327558428483e-76
"59091",1520.26660527817,-8.40151732853763,0.448196465869471,-18.7451663909024,2.12007723731357e-78,4.19752496458653e-76
"17880",91460.6367272417,-8.91516432786606,0.475622743249105,-18.7441926493343,2.15924073947241e-78,4.22958507828782e-76
"237353",142.741225868135,-5.33970462163902,0.285031582932743,-18.7337296684732,2.62840516453808e-78,5.09440255733049e-76
"14231",153.894153428775,-3.73921633326747,0.200276964032372,-18.6702267598937,8.64848058787722e-78,1.65879659442274e-75
"59012",1844.95575987097,-7.33026336662924,0.393143896965006,-18.6452426788701,1.38026623238428e-77,2.62008681823627e-75
"23959",1229.81418597951,-5.30038213480399,0.286299550259555,-18.5134141146877,1.60967523322537e-76,3.02438266014069e-74
"76088",1321.23040362141,4.47593840139622,0.242895370279506,18.4274339862701,7.91492326532686e-76,1.47209577863094e-73
"107589",28269.6763690313,-8.53128270691478,0.466681555250909,-18.2807368556231,1.17823478368099e-74,2.16948370719181e-72
"216049",423.685252044387,-7.62846494118202,0.417960766857062,-18.2516292104299,2.00829692511653e-74,3.66126448338323e-72
"239759",295.063647660128,5.70970377614614,0.314418408444364,18.1595721586272,1.07861991405189e-73,1.94712043896446e-71
"19274",675.609168754924,-4.75214716777036,0.261960953183346,-18.140669859467,1.52165201553087e-73,2.72021151087087e-71
"57266",27933.6507610067,-8.63332101313029,0.475926207818462,-18.1400411897959,1.53915772762432e-73,2.72504915757179e-71
"14766",6076.71642760832,-3.2964456441435,0.181954734796548,-18.1168445428442,2.34673811220254e-73,4.11528465333195e-71
"20716",9915.26764177774,-6.2336420245156,0.344268478800551,-18.1069206400596,2.81035699598853e-73,4.88180220444686e-71
"12192",25923.9516319839,-2.86113342937158,0.158275126581163,-18.0769618775468,4.84026582936523e-73,8.32932847814038e-71
"666048",859.8047945962,-6.06614120291278,0.336778393435712,-18.0122636165219,1.56111980554677e-72,2.66156472032711e-70
"20564",1485.15557211829,-7.01539452926197,0.39081255833227,-17.9507909346594,4.73117661602654e-72,7.99221605788042e-70
"225288",4310.88973993606,-4.81554257227813,0.268328291789321,-17.9464585719462,5.11498148784516e-72,8.56201401233573e-70
"330222",1607.99008472024,-7.94087788894213,0.442634907728907,-17.9400172699564,5.74372744567195e-72,9.52786067181601e-70
"319909",920.359206969011,-5.75465037448978,0.321025602456625,-17.9258299975227,7.41358359234419e-72,1.21880638112351e-69
"12326",446.767260030232,-6.28592160815193,0.35075248775199,-17.921245971594,8.05046688175572e-72,1.31179864330768e-69
"100129",497.569985935973,-4.94933729190126,0.276285429633224,-17.9138556038646,9.19405713242534e-72,1.48500152613463e-69
"71721",294.740963892531,-5.63472163277338,0.314864699435943,-17.8956918411863,1.27404708088783e-71,2.03991555655544e-69
"330812",538.381721622795,-5.89617116340768,0.329911753890129,-17.8719645295551,1.9500446180693e-71,3.09535961659569e-69
"212439",362.789669324311,3.81789817720025,0.213708119894664,17.8650122376356,2.20883644634696e-71,3.47617995611851e-69
"76686",399.428826658876,-6.75526109024556,0.37977351257061,-17.7876046291922,8.81692532653889e-71,1.37581394947085e-68
"246228",3130.45134586201,-5.75641264090327,0.324336328928537,-17.7482820377227,1.77707545142349e-70,2.74968825941687e-68
"55987",1425.15673682027,-8.09866627725604,0.457368641467774,-17.7070868944273,3.69718872694073e-70,5.67302800242998e-68
"108800",2134.84659356443,-3.54445605414851,0.200230301220062,-17.7018964290175,4.05422119889827e-70,6.16945247399288e-68
"71446",153.604143363201,3.21678581713568,0.181782588438288,17.6957861848674,4.51879748597055e-70,6.82005066468654e-68
"18160",1033.87898365307,-4.30669880330586,0.244454366821147,-17.6175981607922,1.80507650616832e-69,2.70218485431522e-67
"67182",93.2107475057857,5.6132453413502,0.318723157752856,17.6116645584404,2.00462280111419e-69,2.97670319652545e-67
"628900",803.218735403696,-5.96518210886008,0.338776538301779,-17.608014234877,2.138155408455e-69,3.14958844287056e-67
"21804",2337.15137765125,-7.46279477865862,0.424086078085996,-17.5973585653649,2.58083607154389e-69,3.77150274486806e-67
"18400",154.415650253345,5.79241218675291,0.332540852356438,17.418648402766,5.95676977199999e-68,8.63637809542015e-66
"594844",183.954837114423,-6.97549681806921,0.400808696967558,-17.4035565366832,7.75358677085295e-68,1.11536557196653e-65
"68010",728.56220841176,-2.62984678501229,0.151139757085848,-17.4000993234263,8.23599971236352e-68,1.17557723026162e-65
"63913",8027.51911268595,-6.85612278339062,0.396546274468303,-17.2895907106515,5.63509519168909e-67,7.98146213573624e-65
"19766",4392.82856323659,-1.82870480507046,0.105788594976493,-17.2864079107658,5.95494028605983e-67,8.37010041887172e-65
"56209",3623.76838436178,2.91570539822324,0.16882798786412,17.270272749859,7.87692548144584e-67,1.0987714309838e-64
"15904",1018.41806062263,-6.32508600916767,0.366603826429962,-17.2531914649179,1.05885501034623e-66,1.46591709063948e-64
"11754",2596.25720073934,-7.03342621701224,0.408212134872524,-17.2298312964376,1.58613251046079e-66,2.17951178471004e-64
"56693",521.597071389629,-2.50354585336462,0.145362626541536,-17.2227615373285,1.79228639483705e-66,2.44454588060257e-64
"16852",3255.16445570459,-5.61360352323388,0.330670970968729,-16.9764025756127,1.22785391523266e-64,1.66238780449845e-62
"114679",1104.35561513612,-6.5084497186043,0.383715236237957,-16.9616661105637,1.57805637231045e-64,2.12093080170455e-62
"71093",118.074341547782,-5.48680643887924,0.325053275142489,-16.8797143682803,6.34510741501049e-64,8.46612049511508e-62
"71913",282.209408424936,2.78402265379569,0.165095340870605,16.8631206617617,8.40326338168856e-64,1.11316034997864e-61
"66873",382.647030428866,-6.98185341660804,0.414858226016213,-16.8294925320709,1.4836824883266e-63,1.95136040411126e-61
"18764",1457.50195170709,-2.86561961981156,0.170831708477949,-16.7745182984074,3.74886694187917e-63,4.89559482275327e-61
"226922",614.754568862916,-9.051898280097,0.539836625752137,-16.7678476196114,4.19428878714118e-63,5.438692918143e-61
"104001",1128.90608939122,-7.93985693477256,0.473832768172592,-16.7566649419242,5.06236195872281e-63,6.51841054167574e-61
"66042",516.834573052842,-7.50913074261739,0.448791524203609,-16.7318907279778,7.67623105344763e-63,9.81544738799522e-61
"11838",19863.253992739,-4.98146028774644,0.29780121682059,-16.7274678758197,8.26792931028878e-63,1.04991298200239e-60
"20692",20847.4222812664,-6.17176456493072,0.369015007433185,-16.7249690137554,8.62210240327252e-63,1.08738884624286e-60
"12832",1848.88287077828,-5.67117639293118,0.339200311734095,-16.7192546608769,9.48986440152287e-63,1.18453161474973e-60
"64082",458.489130645891,-7.37521261585967,0.441126052528273,-16.7190592656891,9.52102747965893e-63,1.18453161474973e-60
"58998",556.17652401959,-4.67105954726306,0.279518776692553,-16.7110760949016,1.08853326601588e-62,1.34517872665438e-60
"210297",101.983928173089,-5.35090634920822,0.321283916775209,-16.6547594505083,2.79465590252714e-62,3.43053327554881e-60
"101437",669.098386087955,3.03399013633043,0.182253691847677,16.6470709348712,3.17779730069298e-62,3.87501865547416e-60
"12288",998.801540946594,-4.30642096866692,0.258801530716871,-16.6398589557731,3.58461420187933e-62,4.34233561178974e-60
"67305",126.314264085711,-5.64943363212284,0.340120556854477,-16.610091681521,5.8903112565964e-62,7.08877785409867e-60
"13497",331.597791161982,-5.7066807786111,0.344720047780682,-16.5545369796473,1.48479331710215e-61,1.77529216544169e-59
"18830",2017.63678441286,-6.27605775178323,0.38108096102559,-16.4690929058557,6.11808885236562e-61,7.26789484120053e-59
"214968",1551.70384576831,-5.52774133364433,0.336471627091407,-16.4285511424197,1.19479635693973e-60,1.41024264873918e-58
"19414",1442.06636417402,-5.56968760153391,0.339183821872102,-16.4208527717873,1.35646831667647e-60,1.5908694977684e-58
"109624",19238.2915023503,-5.96325498886968,0.3645528905319,-16.3577224148984,3.83193479024028e-60,4.46565919574015e-58
"11492",106.16289182127,-5.11788892055463,0.313076304347609,-16.3470976547374,4.5619731713819e-60,5.28299446570157e-58
"16777",6977.12782218156,-2.77097872992133,0.169621222169744,-16.3362738133577,5.44823952002291e-60,6.26990214263636e-58
"360213",479.02717330164,3.91452165536649,0.239935883822373,16.3148654257337,7.73765241230873e-60,8.84927912222613e-58
"433938",167.899309844062,-4.77318666491924,0.293009467807517,-16.2902130795815,1.15824982119336e-59,1.31647246652058e-57
"13136",852.191704824109,3.91653274816782,0.241040730532108,16.2484271414292,2.2916870168074e-59,2.58876276321931e-57
"24117",2417.71068394922,-8.91772954461822,0.549574194684157,-16.2266162255731,3.26995654102474e-59,3.67132376767613e-57
"227541",148.270495825008,-4.79030399821864,0.296650049039965,-16.1479966503336,1.17310168028103e-58,1.3091103781221e-56
"15530",7360.13313028075,-3.84089348064229,0.238106800381926,-16.1309692729542,1.54575332675538e-58,1.71457566298475e-56
"545370",1342.04091753077,-7.24620572268785,0.44965700130851,-16.1149625194343,2.00285371189034e-58,2.20829613155909e-56
"232821",132.472886507107,-5.33975081189705,0.331374439101104,-16.1139490009604,2.03596058154725e-58,2.23143703500176e-56
"12759",16824.8974398525,3.65830376746608,0.22730630073988,16.0941590952751,2.80354595000206e-58,3.05453796315904e-56
"21385",470.590560930658,-5.54522303167918,0.34500384744829,-16.0729309910386,3.94961477754217e-58,4.27789746464023e-56
"18779",353.470164617115,-6.57978273372375,0.409796558461546,-16.0562176471796,5.1713991385494e-58,5.56847791450936e-56
"16008",9146.90591243447,-8.94167943273742,0.557230034713844,-16.0466573509974,6.03267689997134e-58,6.45812091623095e-56
"19699",2848.89016320815,-7.89786432528452,0.493035684988476,-16.0188492755228,9.43807529789954e-58,1.00452763271806e-55
"226778",833.902318576122,-6.44013510489434,0.403250282498643,-15.9705656372752,2.04919129326462e-57,2.16849191280927e-55
"68519",620.309657037511,-5.15756558806053,0.323160754374007,-15.9597522850546,2.43696693707688e-57,2.56410698356552e-55
"67516",367.72417585146,-8.19482283604877,0.514308935939025,-15.9336582808671,3.7005864406231e-57,3.8715283029087e-55
"56219",390.123605134346,4.47875399454959,0.281273862170602,15.9231076787116,4.38067399375227e-57,4.55713843203167e-55
"73608",513.391868387269,3.7756930019324,0.237143413165136,15.9215596652612,4.49042364173338e-57,4.64506575928296e-55
"14425",1477.02746626125,1.93940141927552,0.12195222614137,15.9029603693116,6.04398578930516e-57,6.21720169488692e-55
"72168",65.9664442997686,4.94671545476503,0.311063937387611,15.9025681225176,6.08195369331444e-57,6.22150074194437e-55
"193385",977.579879489438,-6.24414607146875,0.392681457901843,-15.9013010312027,6.20623382255589e-57,6.31355709252605e-55
"108075",2326.88115527377,-4.01562686284174,0.252818803631062,-15.8834185003966,8.25539020038775e-57,8.35200548130438e-55
"17260",795.938165783438,-6.56139696180463,0.413160241989074,-15.8809979639283,8.58023265641204e-57,8.63321442090245e-55
"67865",176.564093506807,-3.47934358678716,0.219235125510662,-15.87037468874,1.01632346251547e-56,1.01704151713573e-54
"12338",676.830861282125,-8.3311395509378,0.526803178972084,-15.8145202676905,2.47084567358503e-56,2.4592260209579e-54
"238393",391.82334715821,-5.01819314301496,0.318027765451014,-15.7791038650301,4.33296084089177e-56,4.28939827759894e-54
"20498",890.555090237526,-4.24069434115912,0.268852970233972,-15.773284325141,4.75134279062291e-56,4.67842111249944e-54
"22021",812.306412568762,-5.07272944936355,0.321877952166315,-15.7597916080392,5.88266410556766e-56,5.76156883913922e-54
"52250",161.940733278552,-5.89117066588222,0.374032062107339,-15.7504429772429,6.82018908733283e-56,6.60948114026628e-54
"20444",410.068723667849,-5.38016571095879,0.341587430584245,-15.7504791723649,6.81628653449804e-56,6.60948114026628e-54
"74002",823.794893026163,-8.4170847000838,0.53464701677105,-15.7432557108763,7.64091082453207e-56,7.3660780634612e-54
"22420",739.756350637744,-8.57569136981644,0.546386140436299,-15.695294472456,1.62885045429969e-55,1.56208455286564e-53
"20341",238.438039769959,3.41137276577242,0.21798690362824,15.6494390671756,3.35160648346244e-55,3.19757151191679e-53
"12521",3550.02205969515,4.62955360694441,0.295965826614755,15.6421897078357,3.75587597425096e-55,3.56479094401459e-53
"18032",2505.34435817543,-2.24016764415757,0.143829828782835,-15.5751255710659,1.07441855262984e-54,1.01452660561914e-52
"629378",698.817186855659,-7.42408007872849,0.476760375202397,-15.571931865304,1.12943817390418e-54,1.06103801510702e-52
"100503819",265.629039536398,-6.82344876701541,0.438458500488957,-15.5623594009606,1.31172911982372e-54,1.22603392301087e-52
"224116",565.43697634054,5.24944979765132,0.337369704652381,15.5599323983766,1.36242724797604e-54,1.26698853116075e-52
"19122",2225.35650367629,-3.16881596795654,0.203668239737917,-15.558714368201,1.3886016377534e-54,1.28484029929414e-52
"72042",6843.69348369874,-3.43657868851413,0.221370052540664,-15.5241354874904,2.38192551444346e-54,2.19291972487237e-52
"73139",129.490808746902,3.76092712861196,0.242402069475074,15.5152434826828,2.73594977372872e-54,2.50632055640134e-52
"53374",78.1712155281846,-5.18450129813689,0.334263824938405,-15.5102075406821,2.95920845084925e-54,2.6974210497766e-52
"16764",129.695527825668,-7.08798965737025,0.457379922688447,-15.4969409582028,3.63805791198752e-54,3.2998798193806e-52
"100689",4500.48154293558,-7.88500476567937,0.509274673461417,-15.4828134532725,4.53211135703334e-54,4.09067482436544e-52
"76220",202.843868072879,-7.24033055594975,0.47073998061986,-15.3807427752702,2.2040460788186e-53,1.97966343655058e-51
"24075",365.212856636751,2.07443429130067,0.134935696867322,15.373502634669,2.46475957212713e-53,2.20308825250373e-51
"269587",1533.44998501156,1.70566300879789,0.110991031754212,15.3675750359277,2.7009055396387e-53,2.40250114499359e-51
"73711",698.875639832062,1.21978280801753,0.0793975936039804,15.3629694887425,2.89982340025051e-53,2.56704078215446e-51
"71586",298.460301953265,2.38813428867931,0.155596459324194,15.3482559889329,3.63836668324383e-53,3.20541845639084e-51
"217151",95.6597207715211,-5.20424060655209,0.339644709949044,-15.3226016896682,5.40115863854899e-53,4.73578733388583e-51
"11749",7758.8423726515,-2.07487170855831,0.135418873620263,-15.3218798317331,5.46148479381001e-53,4.76598670656037e-51
"19347",2271.77481685909,-1.34929067435166,0.0881141734254538,-15.312981123215,6.26264202839089e-53,5.43934092777177e-51
"18213",4376.79646282602,-8.08129612953487,0.528883455428914,-15.2799185653881,1.04070687635464e-52,8.99649564052491e-51
"23964",1592.70094870068,-7.32299432793806,0.479695568879949,-15.2659203107435,1.28994970894007e-52,1.1098992519025e-50
"16529",2710.5270385416,3.54353853092323,0.232187417750441,15.2615441665831,1.37944854902879e-52,1.18138540154731e-50
"19253",708.424222670947,5.317688425273,0.348652035517452,15.2521364671821,1.5933313589078e-52,1.35824121812821e-50
"106565",370.033995171132,-7.41447410739166,0.486527909757541,-15.2395658269361,1.93149576511423e-52,1.63892311166122e-50
"13003",1912.72522914469,-5.81643729089273,0.381805778344465,-15.2340211196205,2.10252521119583e-52,1.77586223457563e-50
"16533",938.257155473415,-8.90541402171567,0.585280983307921,-15.2156216854742,2.78560618104718e-52,2.34207153477725e-50
"16768",614.425860865164,-5.24940675514054,0.345305667497922,-15.2022027126796,3.41927427731463e-52,2.86177714855429e-50
"22033",285.893277623592,-4.97779524652395,0.327569339183708,-15.1961574270915,3.74981340331617e-52,3.1242223617765e-50
"73173",1357.80562775483,-5.70716756975909,0.378052736814105,-15.0962207491316,1.71484493942032e-51,1.42231711124082e-49
"17263",181.21812612665,-4.09733063787425,0.271657054753105,-15.0827323133504,2.10379384893031e-51,1.73709220360331e-49
"242721",329.16561322666,4.69775806976808,0.311534545067377,15.0794130029852,2.2122703012334e-51,1.81850594002726e-49
"16665",8970.38425651957,-6.57198634412152,0.437123248833008,-15.0346300766816,4.35474174119314e-51,3.56372709691508e-49
"71738",201.037364043636,-6.12284936892602,0.408028834741025,-15.0059232279801,6.71500613851672e-51,5.4709472578986e-49
"100861621",835.207711943231,-8.03993437334113,0.535960101287001,-15.0009942046709,7.23277522861709e-51,5.86683217112451e-49
"20528",1164.12035619936,-6.26130309433151,0.418250644878269,-14.9702174306362,1.14944840869504e-50,9.28280418829022e-49
"240888",117.539831905041,-5.28938081852628,0.354016920727093,-14.9410395629191,1.78173824184507e-50,1.43262647367219e-48
"67923",1578.89994427364,-1.25143969503752,0.0838338952597848,-14.927610021693,2.17938321953818e-50,1.74473840092854e-48
"11468",5373.95481336344,-9.05117823452148,0.607272444281325,-14.9046417629456,3.07457178922788e-50,2.45073984221009e-48
"12337",795.038745146005,3.29259695254671,0.221312681902521,14.8775791980912,4.6087589371073e-50,3.657805099524e-48
"70717",1114.86076914842,-6.71098372861774,0.451693545205239,-14.8573823997605,6.23127242602528e-50,4.92430983606882e-48
"100604",564.822797675486,-5.62363858773588,0.378568479781001,-14.8550100922008,6.45582155084874e-50,5.07995906905034e-48
"234593",250.248737111745,-5.12313098049292,0.344919341663519,-14.8531275624743,6.63972885299349e-50,5.20243946256039e-48
"50722",549.424993165444,6.44392998399087,0.434696602899601,14.8239713423277,1.02538637279236e-49,8.00018613653631e-48
