EntrezGeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
192193,2135.271078,0.003807836,0.226657793,0.016799933,0.986596223,0.9900374
628431,1.570378145,-0.015502725,0.912125599,-0.016996261,0.986439599,0.98993418
75011,0.860660018,-0.028281639,1.663028649,-0.017006104,0.986431746,0.98993418
192166,782.0969067,0.009696659,0.565746297,0.017139588,0.986325257,0.989927338
229707,1079.96631,0.004908153,0.285430571,0.017195612,0.986280563,0.989927338
211064,357.7964036,-0.004751477,0.272728354,-0.017422012,0.986099949,0.989809112
74096,103.8862346,-0.003993544,0.227987227,-0.017516524,0.986024551,0.989787388
22215,950.353484,0.00151334,0.084276912,0.017956758,0.98567335,0.989488791
319616,29.8578725,-0.021336649,1.184039941,-0.018020211,0.98562273,0.989488791
100043813,4407.647365,0.005509089,0.27481694,0.020046394,0.984006363,0.987923073
252875,277.3182338,-0.002206182,0.110011097,-0.02005418,0.984000152,0.987923073
100038453,1.357812706,-0.02405108,1.19066016,-0.020199786,0.983883999,0.987907954
319263,1468.988442,0.007402959,0.365646356,0.020246226,0.983846952,0.987907954
106957,1574.865831,0.007961917,0.384103621,0.020728566,0.983462182,0.987592122
69126,62.02133849,0.00611455,0.292378842,0.020913107,0.983314971,0.987498149
214058,13.36322485,0.00742831,0.349543225,0.021251477,0.983045051,0.987280927
100041697,137.0244472,0.00370689,0.165555786,0.022390578,0.982136397,0.986422161
12155,1.314857973,0.028989997,1.292738344,0.022425262,0.982108729,0.986422161
26364,341.9737239,-0.008829644,0.379911096,-0.023241342,0.981457762,0.985848113
100504043,2.662643344,-0.015304285,0.636322931,-0.024051129,0.980811825,0.985253036
68142,1751.781518,-0.005449071,0.226292805,-0.024079738,0.980789006,0.985253036
73324,3.115840566,-0.017644706,0.722490223,-0.024422069,0.980515945,0.985063296
76294,2.413584033,0.037594638,1.522815874,0.024687579,0.980304162,0.984904269
100503725,0.996126004,-0.029823141,1.197231178,-0.024910094,0.980126676,0.984779684
18584,98.76082579,0.012645716,0.503561261,0.025112567,0.979965176,0.984671148
100041677,145.9407346,0.009393704,0.373944208,0.025120602,0.979958767,0.984671148
435529,2.244119045,-0.019223221,0.754886373,-0.025465052,0.979684024,0.984496094
214791,951.915923,0.012270427,0.471006053,0.026051528,0.979216239,0.984079719
27360,985.9589219,-0.006695002,0.256956657,-0.026054985,0.979213482,0.984079719
320139,5.766505571,-0.016396416,0.60230417,-0.027222816,0.978282018,0.983248187
24099,1.857913373,-0.023077653,0.845746911,-0.027286713,0.978231054,0.983248187
67381,252.6357413,0.004601581,0.164617888,0.027953106,0.977699553,0.982770055
74008,68.85558113,-0.006716377,0.240149035,-0.027967539,0.977688041,0.982770055
140858,1105.033166,-0.006320635,0.22594541,-0.02797417,0.977682752,0.982770055
66094,129.6730313,-0.00576439,0.204606167,-0.028173098,0.977524094,0.982754635
57429,31.95821753,-0.02236561,0.792635221,-0.028216776,0.977489258,0.982754635
67477,14.80392316,0.013024729,0.460010498,0.028313983,0.977411728,0.982748984
76142,4.884866065,0.017119787,0.604450475,0.028322894,0.977404621,0.982748984
74717,2.637128859,-0.020790198,0.720196355,-0.028867403,0.976970344,0.982412481
14870,925.146081,-0.005128937,0.173558517,-0.029551631,0.976424641,0.981917363
16367,886.5054061,-0.015049984,0.506248616,-0.029728445,0.976283627,0.981829178
105014,143.0316248,0.00952137,0.319896294,0.029763928,0.976255327,0.981829178
244202,5.534753608,0.021607562,0.724721186,0.029814999,0.976214596,0.981829178
64213,527.8239693,0.008965418,0.300390876,0.029845839,0.976190001,0.981829178
215474,222.8375719,0.01183196,0.387770826,0.030512765,0.975658113,0.981414523
100504561,1.929042957,0.028820933,0.943939231,0.030532615,0.975642283,0.981414523
11717,166.5447974,-0.021481383,0.697898501,-0.030780096,0.975444914,0.981307283
11419,53.10698888,0.007695831,0.247688871,0.031070555,0.975213272,0.981127854
69094,269.4591601,-0.006778111,0.217010949,-0.03123396,0.975082957,0.981050352
329679,696.524723,0.006572617,0.209864886,0.031318328,0.975015674,0.981036262
627352,326.4176914,0.003965817,0.126573129,0.031332221,0.975004595,0.981036262
69363,1.782845747,-0.033519454,1.065627371,-0.031455136,0.974906571,0.981033703
237898,984.903139,0.004012602,0.125791486,0.031898839,0.974552725,0.98073123
19719,775.3063921,0.007571951,0.237018617,0.03194665,0.974514596,0.98073123
100039719,1.94607492,-0.072896398,2.223288299,-0.03278765,0.973843927,0.980125074
80910,3.087582643,-0.033879595,1.028592902,-0.032937807,0.973724183,0.980058128
74364,8.231685092,-0.015826494,0.47944562,-0.033009987,0.973666623,0.980053766
53607,542.7409816,0.005725384,0.172585696,0.03317415,0.973535712,0.979975567
67768,176.9896547,0.004785534,0.143102414,0.033441326,0.973322655,0.979814666
100503974,12.38195254,0.021541405,0.640799545,0.033616449,0.973183005,0.979727647
379043,1.830370104,0.042076884,1.239357142,0.033950572,0.972916566,0.979512971
676527,11.87999566,0.0123785,0.358217199,0.034555852,0.972433906,0.979080572
108943,319.7129555,-0.006209716,0.179637204,-0.034568094,0.972424143,0.979080572
330890,9.550331574,-0.017911538,0.51790172,-0.034584821,0.972410805,0.979080572
14809,270.6500392,-0.016903248,0.486849237,-0.034719676,0.972303272,0.979080572
99571,1758.363465,0.035193902,1.012063579,0.034774399,0.972259635,0.979080572
272359,557.4904525,0.007693109,0.219705898,0.035015487,0.972067391,0.978979209
23971,2836.041688,0.004658187,0.132975897,0.035030314,0.972055569,0.978979209
100861766,9.171585057,0.017582218,0.500485884,0.035130298,0.971975842,0.978979209
100505224,1.29077604,0.034525924,0.981301286,0.035183816,0.971933167,0.978979209
12750,1791.586753,-0.003523865,0.099296233,-0.035488404,0.971690293,0.978813577
225160,744.6384416,0.004845018,0.135288966,0.035812369,0.97143197,0.978606897
19355,29.15430555,0.00829808,0.231665081,0.035819297,0.971426446,0.978606897
18440,31.72706075,0.024234408,0.675498337,0.035876341,0.971380961,0.978606897
245474,796.9424403,0.008056179,0.222138155,0.036266527,0.97106984,0.978402679
226757,5305.783315,-0.007390412,0.203627056,-0.036293862,0.971048044,0.978402679
100502973,1.768944078,-0.032306079,0.88324351,-0.036576639,0.970822571,0.978260603
633093,1.199677598,-0.04340215,1.133032523,-0.038306182,0.969443562,0.976924491
64661,0.776926188,-0.063672044,1.658936346,-0.038381246,0.969383713,0.976917646
93694,939.3892146,-0.019519654,0.507639294,-0.038451819,0.969327446,0.976914409
13885,626.9799106,-0.004233667,0.108770176,-0.038923054,0.968951736,0.976589212
228361,1094.667278,-0.00611796,0.157042,-0.038957477,0.968924292,0.976589212
100303732,7.748529455,0.0179464,0.457247383,0.039248776,0.968692046,0.97643437
276829,24.61959513,0.028864359,0.732157791,0.039423687,0.968552595,0.976347254
100502629,1.257687337,0.042386169,1.072322726,0.039527437,0.968469879,0.976317322
234854,292.6063789,-0.007445912,0.187785119,-0.039651233,0.968371181,0.976271275
11981,1487.24058,-0.008652468,0.217903242,-0.039707843,0.968326049,0.976271275
19358,760.8139658,-0.006518031,0.16370106,-0.039816668,0.968239288,0.976245209
109754,3265.508176,-0.011111271,0.278449206,-0.039904121,0.968169565,0.976228367
21749,182.7167682,0.008133889,0.203577389,0.039954778,0.96812918,0.976228367
100502801,2.374008392,-0.031443952,0.777395742,-0.040447806,0.967736118,0.975898195
69237,1550.125606,-0.011008502,0.268961945,-0.040929589,0.967352029,0.975564295
218989,278.5583741,-0.007005428,0.16921679,-0.041399129,0.966977707,0.97524021
52443,175.2505135,-0.005028814,0.121114858,-0.04152103,0.966880528,0.975195616
73451,12.91671483,-0.022220802,0.534969299,-0.041536592,0.966868122,0.975195616
18413,3.763136086,0.063644825,1.525897242,0.041709771,0.966730064,0.975150689
12793,914.9361514,-0.008749959,0.209448636,-0.041776156,0.966677143,0.975150689
69926,75.40963564,-0.011026366,0.263214454,-0.041891186,0.966585443,0.975111646
100505012,1.195528745,0.042534362,1.015195563,0.041897703,0.966580248,0.975111646
15214,28.15359004,-0.033730611,0.801766016,-0.042070393,0.966442582,0.975074371
100504629,1.140696725,0.046670262,1.097422046,0.042527177,0.966078447,0.974760395
94112,1320.056364,0.0056212,0.131473132,0.042755505,0.965896434,0.974630153
71818,6.875554714,-0.018991508,0.442940778,-0.042875953,0.965800418,0.974586677
80880,196.5521658,-0.014717672,0.337350489,-0.043627245,0.965201534,0.974035726
52123,456.7016373,0.008563014,0.195204719,0.043866838,0.965010549,0.973896368
446101,8.613635045,-0.018515405,0.409156418,-0.045252634,0.963905942,0.97283491
67026,400.0000938,-0.00644493,0.142387269,-0.045263384,0.963897373,0.97283491
667510,27.70557822,0.013032133,0.286995349,0.045408865,0.963781415,0.972815876
67288,149.6700782,0.011424912,0.249908037,0.045716464,0.963536241,0.97262172
237320,3.642145951,0.030955819,0.669409529,0.04624347,0.963116196,0.972251015
67181,1276.864324,0.006036691,0.130410015,0.046290087,0.963079041,0.972251015
94184,2059.686171,-0.007613798,0.161997725,-0.046999413,0.962513696,0.971749352
100037262,14.33716988,-0.017720154,0.373500052,-0.047443511,0.962159751,0.971445276
70626,1.241024249,0.055182404,1.161414048,0.047513119,0.962104275,0.971442532
241593,40.18898682,0.010127765,0.212973773,0.047554047,0.962071656,0.971442532
67770,154.6484767,-0.009817909,0.206392086,-0.047569212,0.962059569,0.971442532
53951,272.8151638,-0.016396521,0.339653778,-0.048274219,0.961497701,0.970989808
100038478,4.624570025,0.033360791,0.679272841,0.049112505,0.960829638,0.97036837
